frame,t,x,y,v,a,jerk,jounce
1,0.03333333333333333,652.0,324.0,15654.635535459767,547775.0014074645,-9250520.60603113,17224040.78374967
2,0.06666666666666667,501.0,1349.0,11864.726651594825,468924.1857593986,-6104121.060851412,26237497.55028775
3,0.1,629.0,323.0,9563.78132127586,422127.45135704475,-5573628.399082476,21509764.535026573
4,0.13333333333333333,643.0,323.0,6463.0706242505785,236289.65254780417,-3478897.164484056,83302643.52852753
5,0.16666666666666666,662.0,323.0,6496.049545761421,190200.97372477435,-20118.830513973906,62323132.34255443
6,0.2,667.0,323.0,6525.2195319095745,234948.3971802059,675978.3250195725,11035589.862557504
7,0.23333333333333334,501.0,1349.0,9559.209318040386,235266.19539274584,715587.160323193,633497.9410689756
8,0.26666666666666666,701.0,324.0,9583.209318040386,282654.2078684188,718211.5210908374,-21110510.939894024
9,0.3,702.0,323.0,9627.27141496843,283146.9634654684,-691780.2356697419,-31723882.03279703
10,0.3333333333333333,501.0,1349.0,9558.227306858262,236535.52549043595,-1396713.947762298,-10503289.981511593
11,0.36666666666666664,734.0,323.0,6496.717622511662,190032.70028131513,-1391999.5677705146,122447.90135547677
12,0.4,739.0,323.0,3447.7278363808487,143735.554305735,-1388550.7543385995,10316715.045984255
13,0.43333333333333335,745.0,323.0,3393.7278363808487,97462.64999207515,-704218.5647048976,31676511.62248529
14,0.4666666666666667,764.0,323.0,3418.3272444898003,96787.64999207515,723216.6871604196,32264062.72244978
15,0.5,773.0,323.0,3445.3272444898003,145677.09580276982,1446718.9501250875,10550157.576038841
16,0.5333333333333333,778.0,323.0,6590.126772410755,193235.58000041434,1426560.525563009,-44513.971586208514
17,0.5666666666666667,501.0,1349.0,9710.493324476856,240781.13084030375,1443751.3520193403,-10460136.542130154
18,0.6,798.0,323.0,9728.493324476856,289485.670135037,729218.089420999,-21340803.14219921
19,0.6333333333333333,816.0,323.0,9795.364782004513,289395.670135037,21031.142539393062,-21434838.147694107
20,0.6666666666666666,501.0,1349.0,9807.364782004513,290887.7463043299,-699771.1204252748,132768.12045756978
21,0.7,836.0,323.0,9838.763956101018,242744.26210668535,29882.350569897717,5705779.380193871
22,0.7333333333333333,850.0,323.0,6694.397404034916,292879.9030089897,-319385.82841235003,5681243.961991292
23,0.7666666666666666,860.0,323.0,9929.402715108026,221451.87354586204,408631.94803598383,16476761.759731418
24,0.8,501.0,1349.0,8364.110594132351,320122.03287805535,779064.9555697446,5700466.867669106
25,0.8333333333333334,880.0,323.0,11587.11590520546,273389.5372505117,788663.0725472576,-5694388.345666034
26,0.8666666666666667,893.0,323.0,10039.919844031028,372699.5710478725,399439.0658586756,-22721536.091748767
27,0.9,833.0,883.0,13318.472374694578,300018.8083077567,-726106.0002359934,-22578915.22463747
28,0.9333333333333333,501.0,1349.0,10050.467063621469,324292.50436547294,-1105821.949117156,-22476725.5686241
29,0.9666666666666667,928.0,323.0,8439.560482579685,226297.34503327962,-2224554.3714776,-5596435.542026498
30,1.0,932.0,323.0,5228.555171506575,175988.87960029958,-1478917.6519189226,16828233.990333132
31,1.0333333333333332,937.0,323.0,3566.552530663551,127702.83490535147,-1102672.1054553916,28303919.141890697
32,1.0666666666666667,957.0,323.0,3606.1278839025617,102477.40590327347,408010.2908737907,28281297.359306227
33,1.1,965.0,323.0,3639.1278839025617,154903.52096360415,782747.7184983571,5400446.763929505
34,1.1333333333333333,971.0,323.0,6992.125112606225,154660.58713649726,768040.0751357578,-11400473.841002246
35,1.1666666666666667,501.0,1349.0,6998.374766345174,206106.19263932135,22716.129098207348,-22655780.122152653
36,1.2,991.0,323.0,7031.374766345174,156174.99574304442,-742345.2663410858,-23118171.298695166
37,1.2333333333333334,1004.0,323.0,3698.246882442612,156616.5082165823,-1518495.2908148034,-11767930.562552739
38,1.2666666666666666,1019.0,334.0,3713.246882442612,54941.976355390856,-1526873.9705112684,22037954.206275087
39,1.3,1019.0,343.0,357.2496537389479,54824.910182497755,-49298.34372979782,32885991.76776858
40,1.3333333333333333,1019.0,349.0,309.0,51655.42010673767,665525.4806733038,33231298.488298267
41,1.3666666666666667,1019.0,368.0,3548.8303123991127,99193.27556071802,2166121.555490087,33544394.144095283
42,1.4,1019.0,373.0,6794.8357818567365,196063.5238060768,2901818.423612989,-4795.9382733060975
43,1.4333333333333333,1019.0,382.0,9910.805070333203,292647.83713491727,2165801.8262718664,-22312214.43914268
44,1.4666666666666666,501.0,1349.0,13014.065217155821,340450.3122242012,1414337.4610034772,-32855035.37991547
45,1.5,501.0,1349.0,13005.065217155821,386937.0012018158,-24533.865722497994,-32754469.30783891
46,1.5333333333333332,1019.0,420.0,12865.495051579328,338814.72117603465,-769293.8261857835,-22036818.63432964
47,1.5666666666666667,1019.0,426.0,9625.489582121703,335650.74612276355,-1493655.1080111403,-10373168.29766372
48,1.6,1019.0,431.0,9553.812040180017,239237.713975292,-1460838.3793633648,944552.1718450543
49,1.6333333333333333,501.0,1349.0,6393.551893357399,238261.52083187256,-1430684.96322147,557561.9816724124
50,1.6666666666666667,1004.0,439.0,6432.551893357399,143858.71642719398,-1423667.5805852038,10380635.167431416
51,1.7,1004.0,439.0,3329.2917465347805,143350.34879285895,-738642.6187260422,10270218.879804792
52,1.7333333333333334,999.0,439.0,3338.2917465347805,94615.87517879118,-738986.3219315512,20870303.00046409
53,1.7666666666666666,980.0,439.0,3297.1461953584985,94084.59399742221,652710.9146382303,20853246.81435474
54,1.8,975.0,439.0,3339.1461953584985,138129.9361546732,651230.1323587646,10373812.27012818
55,1.8333333333333333,960.0,439.0,6281.475971610593,137499.9361546732,1344298.3993134424,360278.7927196756
56,1.8666666666666667,501.0,1349.0,6281.475971610593,227749.82944223602,675248.7185400764,-10186102.920146223
57,1.9,941.0,439.0,9235.805747862687,182516.5173906783,665224.8713036941,-10469602.920146223
58,1.9333333333333333,927.0,439.0,6199.6595525041885,272098.1541958156,-22724.80946967186,-10532629.322032094
59,1.9666666666666666,917.0,439.0,9104.601651870751,181001.53009270015,-36950.41683177883,68255.32306773966
60,2.0,501.0,1349.0,6150.271875618657,269634.793073697,-18174.454598489217,77418.40731818753
61,2.033333333333333,903.0,439.0,9040.21397498522,179789.8997861342,-31789.189677232993,9598347.058687435
62,2.0666666666666664,884.0,439.0,6124.884198733125,267515.5137618815,621715.3493140064,9696604.458175652
63,2.1,883.0,439.0,9000.373016192414,221237.5897404013,614651.1075344771,181575.16061239043
64,2.1333333333333333,501.0,1349.0,8962.316858513728,308492.25426417997,633820.3600214991,-9629860.97161977
65,2.1666666666666665,850.0,439.0,11819.805675973017,263492.2804085013,-27339.623906840912,-19631918.785940524
66,2.2,844.0,439.0,8857.863576606454,306669.6126703906,-674974.2257078693,-29182879.162263382
67,2.2333333333333334,501.0,1349.0,8758.863576606454,218493.9986946433,-1972864.9013910666,-19321896.508555017
68,2.2666666666666666,501.0,1349.0,5841.374759147165,175145.28591098616,-1963100.6596115374,31808.949819214642
69,2.3,501.0,1349.0,2917.488817459289,87620.62138720749,-1970744.3047364522,9731870.082051376
70,2.3333333333333335,501.0,1349.0,0.0,43762.332261889336,-1314309.3208081122,19714639.812121682
71,2.3666666666666667,501.0,1349.0,0.0,0.0,-656434.98392834,19714639.812121682
72,2.4,501.0,1349.0,0.0,0.0,0.0,9846524.7589251
73,2.433333333333333,501.0,1349.0,0.0,0.0,0.0,0.0
74,2.466666666666667,501.0,1349.0,0.0,0.0,0.0,0.0
75,2.5,501.0,1349.0,0.0,0.0,0.0,0.0
76,2.533333333333333,501.0,1349.0,0.0,0.0,0.0,9831421.923162997
77,2.5666666666666664,501.0,1349.0,0.0,0.0,655428.1282108665,19882589.539570805
78,2.6,501.0,1349.0,0.0,43695.2085473911,1325505.9693047204,9822527.570453625
