object_id,frame,t_sec,x,y
pacman,1,0.03333333333333333,652,324
ghost_red,1,0.03333333333333333,882,1347
ghost_red,1,0.03333333333333333,394,560
ghost_cyan,1,0.03333333333333333,250,616
ghost_mag,1,0.03333333333333333,365,663
pacman,2,0.06666666666666667,1022,945
ghost_red,2,0.06666666666666667,882,1347
ghost_red,2,0.06666666666666667,363,556
ghost_cyan,2,0.06666666666666667,250,601
ghost_mag,2,0.06666666666666667,358,678
pacman,3,0.1,1025,935
ghost_red,3,0.1,882,1347
ghost_red,3,0.1,357,557
ghost_cyan,3,0.1,250,597
ghost_mag,3,0.1,358,683
pacman,4,0.13333333333333333,1025,926
ghost_red,4,0.13333333333333333,882,1347
ghost_red,4,0.13333333333333333,362,573
ghost_cyan,4,0.13333333333333333,250,583
ghost_mag,4,0.13333333333333333,357,686
pacman,5,0.16666666666666666,1025,907
ghost_red,5,0.16666666666666666,882,1347
ghost_red,5,0.16666666666666666,358,582
ghost_cyan,5,0.16666666666666666,250,568
ghost_mag,5,0.16666666666666666,346,688
pacman,6,0.2,1020,907
ghost_red,6,0.2,882,1347
ghost_red,6,0.2,360,590
ghost_cyan,6,0.2,250,563
ghost_mag,6,0.2,341,689
pacman,7,0.23333333333333334,1010,906
ghost_red,7,0.23333333333333334,882,1347
ghost_red,7,0.23333333333333334,362,605
ghost_cyan,7,0.23333333333333334,250,549
ghost_mag,7,0.23333333333333334,323,680
pacman,8,0.26666666666666666,700,324
ghost_red,8,0.26666666666666666,882,1347
ghost_red,8,0.26666666666666666,363,622
ghost_cyan,8,0.26666666666666666,250,534
ghost_mag,8,0.26666666666666666,311,689
pacman,9,0.3,985,906
ghost_red,9,0.3,882,1347
ghost_red,9,0.3,358,630
ghost_cyan,9,0.3,250,525
ghost_mag,9,0.3,303,675
pacman,10,0.3333333333333333,976,906
ghost_red,10,0.3333333333333333,882,1347
ghost_red,10,0.3333333333333333,356,639
ghost_cyan,10,0.3333333333333333,249,515
ghost_mag,10,0.3333333333333333,291,689
pacman,11,0.36666666666666664,734,324
ghost_red,11,0.36666666666666664,882,1347
ghost_red,11,0.36666666666666664,354,654
ghost_cyan,11,0.36666666666666664,250,501
ghost_mag,11,0.36666666666666664,272,683
pacman,12,0.4,739,324
ghost_red,12,0.4,882,1347
ghost_red,12,0.4,357,664
ghost_cyan,12,0.4,250,491
ghost_mag,12,0.4,267,684
pacman,13,0.43333333333333335,936,906
ghost_red,13,0.43333333333333335,882,1347
ghost_red,13,0.43333333333333335,357,671
ghost_cyan,13,0.43333333333333335,250,481
ghost_mag,13,0.43333333333333335,253,683
pacman,14,0.4666666666666667,923,906
ghost_red,14,0.4666666666666667,882,1347
ghost_red,14,0.4666666666666667,354,665
ghost_cyan,14,0.4666666666666667,250,462
ghost_mag,14,0.4666666666666667,250,670
pacman,15,0.5,773,324
ghost_red,15,0.5,882,1347
ghost_red,15,0.5,343,674
ghost_cyan,15,0.5,250,457
ghost_mag,15,0.5,250,665
pacman,16,0.5333333333333333,778,324
ghost_red,16,0.5333333333333333,882,1347
ghost_red,16,0.5333333333333333,326,674
ghost_cyan,16,0.5333333333333333,250,448
ghost_mag,16,0.5333333333333333,250,655
pacman,17,0.5666666666666667,888,906
ghost_red,17,0.5666666666666667,882,1347
ghost_red,17,0.5666666666666667,316,674
ghost_cyan,17,0.5666666666666667,250,428
ghost_mag,17,0.5666666666666667,250,635
pacman,18,0.6,884,906
ghost_red,18,0.6,882,1347
ghost_red,18,0.6,309,671
ghost_cyan,18,0.6,250,423
ghost_mag,18,0.6,248,630
pacman,19,0.6333333333333333,816,324
ghost_red,19,0.6333333333333333,882,1347
ghost_red,19,0.6333333333333333,301,656
ghost_cyan,19,0.6333333333333333,250,414
ghost_mag,19,0.6333333333333333,248,620
pacman,20,0.6666666666666666,853,911
ghost_red,20,0.6666666666666666,882,1347
ghost_red,20,0.6666666666666666,973,1353
ghost_cyan,20,0.6666666666666666,250,394
ghost_mag,20,0.6666666666666666,248,601
pacman,21,0.7,843,911
ghost_red,21,0.7,882,1347
ghost_red,21,0.7,276,682
ghost_cyan,21,0.7,250,390
ghost_mag,21,0.7,248,596
