frame,t_sec,x,y
1,0.03333333333333333,652,324
2,0.06666666666666667,501,1349
3,0.1,629,323
4,0.13333333333333333,643,323
5,0.16666666666666666,662,323
6,0.2,667,323
7,0.23333333333333334,501,1349
8,0.26666666666666666,701,324
9,0.3,702,323
10,0.3333333333333333,501,1349
11,0.36666666666666664,734,323
12,0.4,739,323
13,0.43333333333333335,745,323
14,0.4666666666666667,764,323
15,0.5,773,323
16,0.5333333333333333,778,323
17,0.5666666666666667,501,1349
18,0.6,798,323
19,0.6333333333333333,816,323
20,0.6666666666666666,501,1349
21,0.7,836,323
22,0.7333333333333333,850,323
23,0.7666666666666666,860,323
24,0.8,501,1349
25,0.8333333333333334,880,323
26,0.8666666666666667,893,323
27,0.9,833,883
28,0.9333333333333333,501,1349
29,0.9666666666666667,928,323
30,1.0,932,323
31,1.0333333333333332,937,323
32,1.0666666666666667,957,323
33,1.1,965,323
34,1.1333333333333333,971,323
35,1.1666666666666667,501,1349
36,1.2,991,323
37,1.2333333333333334,1004,323
38,1.2666666666666666,1019,334
39,1.3,1019,343
40,1.3333333333333333,1019,349
41,1.3666666666666667,1019,368
42,1.4,1019,373
43,1.4333333333333333,1019,382
44,1.4666666666666666,501,1349
45,1.5,501,1349
46,1.5333333333333332,1019,420
47,1.5666666666666667,1019,426
48,1.6,1019,431
49,1.6333333333333333,501,1349
50,1.6666666666666667,1004,439
51,1.7,1004,439
52,1.7333333333333334,999,439
53,1.7666666666666666,980,439
54,1.8,975,439
55,1.8333333333333333,960,439
56,1.8666666666666667,501,1349
57,1.9,941,439
58,1.9333333333333333,927,439
59,1.9666666666666666,917,439
60,2.0,501,1349
61,2.033333333333333,903,439
62,2.0666666666666664,884,439
63,2.1,883,439
64,2.1333333333333333,501,1349
65,2.1666666666666665,850,439
66,2.2,844,439
67,2.2333333333333334,501,1349
68,2.2666666666666666,501,1349
69,2.3,501,1349
70,2.3333333333333335,501,1349
71,2.3666666666666667,501,1349
72,2.4,501,1349
73,2.433333333333333,501,1349
74,2.466666666666667,501,1349
75,2.5,501,1349
76,2.533333333333333,501,1349
77,2.5666666666666664,501,1349
78,2.6,501,1349
79,2.6333333333333333,501,1349
80,2.6666666666666665,501,1349
81,2.7,501,1349
82,2.7333333333333334,826,434
83,2.7666666666666666,826,411
84,2.8,826,410
85,2.8333333333333335,501,1349
86,2.8666666666666667,826,372
87,2.9,826,376
88,2.933333333333333,501,1349
89,2.966666666666667,826,338
90,3.0,825,329
91,3.033333333333333,811,324
92,3.0666666666666664,501,1349
93,3.1,501,1349
94,3.1333333333333333,773,323
95,3.1666666666666665,762,323
96,3.2,501,1349
97,3.2333333333333334,743,324
98,3.2666666666666666,251,1136
99,3.3,501,1349
100,3.3333333333333335,695,323
101,3.3666666666666667,222,1141
102,3.4,501,1349
103,3.433333333333333,666,324
104,3.466666666666667,647,323
105,3.5,501,1349
106,3.533333333333333,627,323
107,3.5666666666666664,609,323
108,3.6,501,1349
109,3.6333333333333333,593,323
110,3.6666666666666665,574,323
111,3.6999999999999997,569,323
112,3.7333333333333334,555,323
113,3.7666666666666666,537,323
114,3.8,531,323
115,3.8333333333333335,501,1349
116,3.8666666666666667,498,324
117,3.9,497,323
118,3.933333333333333,501,1349
119,3.966666666666667,464,324
120,4.0,460,323
121,4.033333333333333,454,323
122,4.066666666666666,435,323
123,4.1,425,323
124,4.133333333333333,420,324
125,4.166666666666667,501,1349
126,4.2,53,1254
127,4.233333333333333,387,323
128,4.266666666666667,377,323
129,4.3,501,1349
130,4.333333333333333,100,1253
131,4.366666666666666,343,323
132,4.4,339,323
133,4.433333333333334,501,1349
134,4.466666666666667,311,323
135,4.5,305,323
136,4.533333333333333,501,1349
137,4.566666666666666,280,323
138,4.6,267,323
139,4.633333333333333,271,323
140,4.666666666666667,501,1349
141,4.7,501,1349
142,4.733333333333333,310,323
143,4.766666666666667,320,323
144,4.8,501,1349
145,4.833333333333333,340,323
146,4.866666666666666,363,334
147,4.9,364,343
148,4.933333333333334,364,354
149,4.966666666666667,363,367
150,5.0,363,382
151,5.033333333333333,363,386
152,5.066666666666666,501,1349
153,5.1,363,406
154,5.133333333333333,363,420
155,5.166666666666667,373,435
156,5.2,378,439
157,5.233333333333333,387,439
158,5.266666666666667,501,1349
159,5.3,501,1349
160,5.333333333333333,425,439
161,5.366666666666666,431,438
162,5.4,501,1349
163,5.433333333333334,451,438
164,5.466666666666667,468,439
165,5.5,469,439
166,5.533333333333333,475,438
167,5.566666666666666,479,459
168,5.6,479,463
169,5.633333333333333,481,1182
170,5.666666666666667,479,497
